example_type,scan_date,symbol,trade_bucket,source_bucket,reason_codes,kumo_rank_by_score,kumo_score,george_rank,george_watchlist_rank,best_entry_assumption,best_entry_ret_20d_close_pct,best_entry_mfe_20d_pct,best_entry_mae_20d_pct,best_deployable_exit_policy_id,best_deployable_total_equity_ret_40d_pct,model_combined_score
kumo_addition_optimal,2025-07-22,KTOS,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,65.0,8.0,,,next_open,14.6897,30.3802,-2.2597,time10_lt2_hard6,35.8321,0.5947915607123087
kumo_addition_optimal,2025-07-22,LITE,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,77.0,8.0,,,next_open,16.0229,28.8487,-1.7209,time10_lt2_hard6,60.6577,0.5329331466649928
kumo_addition_optimal,2025-07-23,GLW,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,54.0,8.0,,,next_open,16.0827,19.4969,-1.3657,giveback35_after8,43.0728,0.5724405545534853
kumo_addition_optimal,2025-07-23,KTOS,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,80.0,8.0,,,next_open,9.8469,23.6395,-7.3129,partial_t4_trail8,-0.0521,0.540579053700186
kumo_addition_optimal,2025-07-23,LITE,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,76.0,8.0,,,next_open,13.0414,27.7799,-1.268,time10_lt2_hard6,67.2844,0.4111846506718699
kumo_addition_optimal,2025-07-24,BE,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,15.0,8.0,,,next_open,34.0686,40.7151,-3.07,time10_lt2_hard6,153.1446,1.1633679731923667
kumo_addition_optimal,2025-07-24,BTI,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,83.0,8.0,,,next_open,13.1431,13.1813,-1.6799,swinglow3_after8,8.6189,0.0825601499439151
kumo_addition_optimal,2025-07-24,GLW,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,71.0,8.0,,,next_open,15.875,18.75,-1.9821,giveback35_after8,42.0714,-0.2721475143177734
kumo_addition_optimal,2025-07-25,BTI,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,98.0,8.0,,,next_open,12.8319,14.0631,-0.9138,swinglow3_after8,9.4652,-0.2538228407397083
kumo_addition_optimal,2025-07-25,CLS,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,57.0,8.0,,,next_open,11.2125,28.7816,-0.4179,time10_lt2_hard6,49.9411,0.3236891360411913
