feature,qc_status,deployability_class,safe_for_qc_handoff,used_in_feature_sets,handoff_note
d_cloud_top,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_cloud_bottom,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_ma200,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_adx,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_plus_di,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_minus_di,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_adx_rising_3,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
bct_valid,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
bct_score,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
bct_rating,unclassified_or_unused,,,,
bct_weekly_veto,unclassified_or_unused,,,,
bct_c1_weekly_price_above_cloud,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
bct_c2_weekly_tenkan_gt_kijun,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
bct_c3_weekly_chikou_ok,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
bct_c4_weekly_cloud_green,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
bct_c5_daily_price_above_cloud,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
bct_c6_daily_price_above_tenkan,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
bct_c7_adx_confirmed,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
bct_c8_daily_price_above_ma200,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
w_date,unclassified_or_unused,,,,
w_close,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
w_tenkan,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
w_kijun,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
w_cloud_top,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
w_cloud_bottom,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
