scope,indicator,bucket,closed_trades,win_rate,win_rate_ci_low,win_rate_ci_high,avg_return_pct,median_return_pct,avg_duration_days,total_pnl,sample_confidence
family:scratch_grid,duration_days,hold_0_1d,1908,0.4523060796645702,0.4300909010726307,0.4747129278638249,-0.25810076142828303,-0.08800140628456,0.9953503523177265,-18817.073533750005,high
family:scratch_grid,duration_days,hold_1_3d,1109,0.43192064923354373,0.40305117038270943,0.46126015658421915,-0.44076377518832427,-0.16174956291508,2.565577722673079,-18223.64357235,high
family:scratch_grid,duration_days,hold_3_7d,1608,0.4533582089552239,0.4291657181720072,0.4777730281663428,-0.2097088314653227,-0.16357259289818002,5.265700576976229,-11209.104408649986,high
family:scratch_grid,duration_days,hold_7_14d,725,0.5393103448275862,0.5029146769479156,0.5752916164359967,1.7619850282962033,0.27729599422765,10.39962643678161,50255.26991240001,high
family:scratch_grid,duration_days,hold_14_30d,420,0.6071428571428571,0.5596654430110175,0.6526780362510463,3.7205033538931462,1.1884263035205,19.650810185185183,56144.86164844999,medium
family:scratch_grid,duration_days,hold_30d_plus,156,0.5064102564102564,0.42874822941313184,0.5837641578502589,3.769984429950118,0.020842601268370002,81.56038550569802,21024.626867399995,medium
all,decision_vol_quartile,"(0.173, 4.061]",5192,0.4609013867488444,0.4473763027956477,0.47448428664187475,0.3003403781995366,-0.08589202508572,8.529741268618388,62169.75231475008,high
all,decision_vol_quartile,"(4.061, 5.508]",5169,0.4782356355194428,0.4646389204822271,0.49186467707622117,0.606690497918346,-0.04663619422395,8.498535607575072,120513.10468755005,high
all,decision_vol_quartile,"(5.508, 7.194]",5168,0.49419504643962847,0.48057317526535087,0.5078255413542765,0.8154201475188522,-0.02380490130455,9.426421541752667,167194.51584220002,high
all,decision_vol_quartile,"(7.194, 16.814]",5164,0.5213013168086754,0.5076654762324776,0.534905488016891,0.6231507246241329,0.12196384047244,11.288299337292367,121511.50818155002,high
family:anchor,decision_vol_quartile,"(0.173, 4.061]",943,0.4676564156945917,0.4360056905299644,0.4995695947131006,0.3882922883630173,-0.07822511724606,9.704305113703311,14274.224170400012,high
family:anchor,decision_vol_quartile,"(4.061, 5.508]",915,0.5005464480874317,0.46821417920760683,0.5328741476596138,0.6323542436849469,0.006213413462563544,9.516860200364299,21654.818821400004,high
family:anchor,decision_vol_quartile,"(5.508, 7.194]",941,0.485653560042508,0.4538428895174612,0.5175808919925824,0.892930222847632,-0.056290938589690004,10.515933108985712,32457.043303449995,high
family:anchor,decision_vol_quartile,"(7.194, 16.814]",875,0.5508571428571428,0.5177479739554676,0.5835216973937265,0.8633088905633041,0.19705407701238,12.29040873015873,28336.9787497,high
family:entry_trigger,decision_vol_quartile,"(0.173, 4.061]",1144,0.44493006993006995,0.41636398786249346,0.47386476843977005,0.13568634823204748,-0.11791504607343001,7.946584231740481,6323.44031295003,high
family:entry_trigger,decision_vol_quartile,"(4.061, 5.508]",1181,0.45300592718035565,0.4248133614929056,0.4815032296868774,0.5539015744469467,-0.2345836749825,7.210062094270391,23475.779554650013,high
family:entry_trigger,decision_vol_quartile,"(5.508, 7.194]",1167,0.48157669237360756,0.4530162620409763,0.5102580186132131,0.6295939060044312,-0.06023001028914,8.26666488146244,27031.367170899994,high
family:entry_trigger,decision_vol_quartile,"(7.194, 16.814]",1312,0.5083841463414634,0.4813472557263473,0.5353720819203726,0.42843331945522184,0.020842601268370002,10.331724254742548,21636.973262900014,high
